3402 E0100; Adobe-Japan1; CID+2443
5EF7 E0101; Adobe-Japan1; CID+62268
5EF7 E0102; Hanyo-Denshi; CID+17120
5EF7 E0103; Hanyo-Denshi; CID+17121
5EF7 E0104; Moji-Joho; CID+62268
5EF8 E0100; Adobe-Japan1; CID+17122
5EF8 E0101; Moji-Joho; CID+17122
5EF8 E0102; Moji-Joho; CID+17122
5EF8 E0103; MSARG; CID+17122
5EF8 E0104; MSARG; CID+17123
5EF9 E0100; Adobe-Japan1; CID+17124
5EF9 E0101; Moji-Joho; CID+17124
5EF9 E0102; Moji-Joho; CID+17124
5EFA E0100; Adobe-Japan1; CID+17126
5EFA E0101; Adobe-Japan1; CID+62269
5EFA E0102; Hanyo-Denshi; CID+17126
5EFA E0104; Moji-Joho; CID+62269
5EFB E0100; Adobe-Japan1; CID+61921
5EFB E0101; Adobe-Japan1; CID+17128
5EFB E0102; Moji-Joho; CID+17128
5EFB E0103; Moji-Joho; CID+61921
5EFC E0100; Adobe-Japan1; CID+17130
5EFC E0101; Moji-Joho; CID+17130
5EFC E0102; Moji-Joho; CID+17130
5EFC E0103; Moji-Joho; CID+17130
5EFD E0100; Adobe-Japan1; CID+17132
5EFD E0101; Moji-Joho; CID+17132
5EFD E0102; Moji-Joho; CID+17132
5EFE E0100; Adobe-Japan1; CID+17133
5EFE E0101; Hanyo-Denshi; CID+17133
5EFF E0100; Adobe-Japan1; CID+17134
5F00 E0100; Adobe-Japan1; CID+17135
5F01 E0100; Adobe-Japan1; CID+17136
5F01 E0101; Hanyo-Denshi; CID+17136
5F02 E0100; Adobe-Japan1; CID+17138
5F02 E0101; Hanyo-Denshi; CID+17138
5F02 E0102; Hanyo-Denshi; CID+17140
5F02 E01EA; PUA; CID+17139
5F03 E0100; Adobe-Japan1; CID+17141
5F04 E0100; Adobe-Japan1; CID+17143
5F06 E0100; Adobe-Japan1; CID+17146
5F07 E0100; Adobe-Japan1; CID+17148
5F08 E0100; Adobe-Japan1; CID+17150
5F09 E0100; Adobe-Japan1; CID+17154
5F09 E0101; Hanyo-Denshi; CID+17154
5F0A E0100; Adobe-Japan1; CID+17155
5F0A E0101; Adobe-Japan1; CID+62270
5F0A E0102; Hanyo-Denshi; CID+17155
5F0A E0103; Hanyo-Denshi; CID+62270
5F0B E0100; Adobe-Japan1; CID+17157
5F0C E0100; Adobe-Japan1; CID+17158
5F0D E0100; Adobe-Japan1; CID+17159
5F0D E0101; Hanyo-Denshi; CID+17159
5F0D E0102; Hanyo-Denshi; CID+17160
5F0E E0100; Adobe-Japan1; CID+17161
5F0E E0101; Hanyo-Denshi; CID+17161
5F0E E0102; Hanyo-Denshi; CID+17162
5F0F E0100; Adobe-Japan1; CID+17163
5F10 E0100; Adobe-Japan1; CID+17164
5F11 E0100; Adobe-Japan1; CID+17165
5F13 E0100; Adobe-Japan1; CID+17169
5F13 E0101; Hanyo-Denshi; CID+17169
5F13 E0102; Hanyo-Denshi; CID+17170
5F13 E0103; Hanyo-Denshi; CID+17168
5F14 E0100; Adobe-Japan1; CID+17171
5F14 E0101; Hanyo-Denshi; CID+17171
5F15 E0100; Adobe-Japan1; CID+17173
5F15 E0101; Hanyo-Denshi; CID+17173
5F16 E0100; Adobe-Japan1; CID+17175
5F16 E0101; Hanyo-Denshi; CID+17175
5F17 E0100; Adobe-Japan1; CID+17176
5F17 E0101; Hanyo-Denshi; CID+17176
5F18 E0100; Adobe-Japan1; CID+17178
5F18 E0101; Hanyo-Denshi; CID+17178
5F19 E0100; Adobe-Japan1; CID+17180
5F1B E0100; Adobe-Japan1; CID+17184
5F1C E0100; Adobe-Japan1; CID+17187
5F1D E0100; Adobe-Japan1; CID+17189
5F1E E0100; Adobe-Japan1; CID+17191
5F1F E0100; Adobe-Japan1; CID+17193
5F1F E0101; Hanyo-Denshi; CID+17193
5F20 E0100; Hanyo-Denshi; CID+17195
5F20 E0101; Hanyo-Denshi; CID+17192
5F21 E0100; Adobe-Japan1; CID+17196
5F21 E0101; Hanyo-Denshi; CID+17196
5F21 E0102; Hanyo-Denshi; CID+17197
5F22 E0100; Adobe-Japan1; CID+17198
5F22 E0101; Hanyo-Denshi; CID+17198
5F22 E0102; Hanyo-Denshi; CID+17199
5F22 E01EA; PUA; CID+61823
5F23 E0100; Adobe-Japan1; CID+17200
5F24 E0100; Adobe-Japan1; CID+17202
5F25 E0100; Adobe-Japan1; CID+17205
5F25 E0101; Hanyo-Denshi; CID+17205
5F25 E0103; Hanyo-Denshi; CID+17206
5F26 E0100; Adobe-Japan1; CID+17208
5F27 E0100; Adobe-Japan1; CID+17210
5F27 E0101; Hanyo-Denshi; CID+17210
5F27 E0102; Hanyo-Denshi; CID+17211
5F28 E0100; Adobe-Japan1; CID+17213
5F29 E0100; Adobe-Japan1; CID+17215
5F29 E0101; Moji-Joho; CID+17215
5F29 E0102; Moji-Joho; CID+17215
5F2B E0100; Adobe-Japan1; CID+17219
5F2C E0100; Adobe-Japan1; CID+17220
5F2D E0100; Adobe-Japan1; CID+17221
5F2D E0101; Adobe-Japan1; CID+62271
5F2D E0102; Moji-Joho; CID+17221
5F2D E0103; Moji-Joho; CID+62271
5F2E E0100; Adobe-Japan1; CID+17224
5F2E E0101; Hanyo-Denshi; CID+17224
5F2E E0102; Hanyo-Denshi; CID+17225
5F2F E0100; Adobe-Japan1; CID+17226
5F30 E0100; Adobe-Japan1; CID+17228
5F30 E01EA; PUA; CID+17229
5F31 E0100; Adobe-Japan1; CID+17231
5F31 E0101; Adobe-Japan1; CID+62272
5F31 E0102; Hanyo-Denshi; CID+17231
5F31 E0103; Hanyo-Denshi; CID+62272
5F34 E0100; Adobe-Japan1; CID+17236
5F35 E0100; Adobe-Japan1; CID+17238
5F36 E0100; Adobe-Japan1; CID+17240
5F37 E0100; Adobe-Japan1; CID+17242
5F38 E0100; Adobe-Japan1; CID+17244
5F38 E0101; Adobe-Japan1; CID+62273
5F38 E0102; Hanyo-Denshi; CID+17244
5F38 E0103; Hanyo-Denshi; CID+62273
5F3A E0100; Adobe-Japan1; CID+17247
5F3B E0100; Adobe-Japan1; CID+17249
5F3C E0100; Adobe-Japan1; CID+17251
5F3D E0100; Adobe-Japan1; CID+17253
5F3E E0100; Adobe-Japan1; CID+17255
5F3F E0100; Adobe-Japan1; CID+17256
5F40 E0100; Adobe-Japan1; CID+17258
5F41 E0100; Adobe-Japan1; CID+17260
5F44 E0100; Adobe-Japan1; CID+17265
5F44 E0101; Hanyo-Denshi; CID+17265
5F44 E0102; Hanyo-Denshi; CID+17266
5F45 E0100; Adobe-Japan1; CID+17268
5F45 E0101; Adobe-Japan1; CID+62274
5F45 E0102; Hanyo-Denshi; CID+17268
5F45 E0103; Hanyo-Denshi; CID+62274
5F46 E01EA; PUA; CID+17269
5F46 E01EB; PUA; CID+17270
5F47 E0100; Adobe-Japan1; CID+17271
5F48 E0100; Adobe-Japan1; CID+17273
5F48 E0101; Hanyo-Denshi; CID+17273
5F4A E0100; Adobe-Japan1; CID+17278
5F4C E0100; Adobe-Japan1; CID+17281
5F4C E0101; Hanyo-Denshi; CID+17281
5F4D E0100; Adobe-Japan1; CID+17283
5F4E E0100; Adobe-Japan1; CID+17286
5F50 E0100; Adobe-Japan1; CID+17289
5F50 E0101; Adobe-Japan1; CID+1365
5F50 E0102; Hanyo-Denshi; CID+17289
5F50 E0103; Hanyo-Denshi; CID+1365
5F50 E0104; Hanyo-Denshi; CID+17290
5F51 E0100; Adobe-Japan1; CID+17291
5F53 E0100; Adobe-Japan1; CID+17294
5F54 E0100; Adobe-Japan1; CID+17295
5F55 E0100; Hanyo-Denshi; CID+17296
5F55 E0101; Hanyo-Denshi; CID+17297
5F55 E0102; MSARG; CID+17298
5F55 E0104; MSARG; CID+17297
5F56 E0100; Adobe-Japan1; CID+17300
5F56 E0101; Hanyo-Denshi; CID+17300
5F57 E0100; Adobe-Japan1; CID+17302
5F57 E0101; Hanyo-Denshi; CID+17302
5F57 E0102; Hanyo-Denshi; CID+17303
5F57 E0103; Moji-Joho; CID+17304
5F58 E0100; Adobe-Japan1; CID+17305
5F59 E0100; Adobe-Japan1; CID+17308
5F5A E0100; Hanyo-Denshi; CID+17310
5F5B E0100; Adobe-Japan1; CID+17311
5F5B E01EA; PUA; CID+17312
5F5C E0100; Adobe-Japan1; CID+17313
5F5C E0101; Hanyo-Denshi; CID+17313
5F5C E0102; Hanyo-Denshi; CID+17314
5F5D E0100; Adobe-Japan1; CID+17315
5F5E E0100; Hanyo-Denshi; CID+17318
5F5E E0101; Hanyo-Denshi; CID+17319
5F60 E0100; Adobe-Japan1; CID+17321
5F60 E0101; Hanyo-Denshi; CID+17321
5F61 E0100; Adobe-Japan1; CID+17323
5F62 E0100; Adobe-Japan1; CID+17324
5F62 E0101; Adobe-Japan1; CID+61824
5F62 E0102; Hanyo-Denshi; CID+17324
5F62 E0103; Hanyo-Denshi; CID+61824
5F63 E0100; Adobe-Japan1; CID+17325
5F64 E0100; Adobe-Japan1; CID+17327
5F65 E0100; Adobe-Japan1; CID+17329
5F65 E01EA; PUA; CID+17330
5F66 E0100; Adobe-Japan1; CID+17331
5F67 E0100; Adobe-Japan1; CID+17333
5F69 E0100; Adobe-Japan1; CID+17335
5F69 E0101; Adobe-Japan1; CID+62275
5F69 E0102; Hanyo-Denshi; CID+17335
5F69 E0103; Hanyo-Denshi; CID+62275
5F6A E0100; Adobe-Japan1; CID+17336
5F6A E0101; Hanyo-Denshi; CID+17336
5F6A E01EA; PUA; CID+17337
5F6B E0100; Adobe-Japan1; CID+17339
5F6B E0101; Adobe-Japan1; CID+61825
5F6B E0102; Hanyo-Denshi; CID+17339
5F6B E0103; Hanyo-Denshi; CID+61825
5F6C E0100; Adobe-Japan1; CID+17342
5F6D E0100; Adobe-Japan1; CID+17343
5F6F E0100; Adobe-Japan1; CID+17345
5F70 E0100; Adobe-Japan1; CID+17347
5F70 E0101; Hanyo-Denshi; CID+17347
5F70 E0102; Hanyo-Denshi; CID+17348
5F71 E0100; Adobe-Japan1; CID+17349
5F72 E0100; Adobe-Japan1; CID+17351
5F73 E0100; Adobe-Japan1; CID+17354
5F74 E0100; Adobe-Japan1; CID+17355
5F74 E0101; Hanyo-Denshi; CID+17355
5F74 E0102; Hanyo-Denshi; CID+17353
5F75 E0100; Adobe-Japan1; CID+17356
5F77 E0100; Adobe-Japan1; CID+17359
5F78 E0100; Adobe-Japan1; CID+17361
5F79 E0100; Adobe-Japan1; CID+17364
5F7A E0100; Adobe-Japan1; CID+17366
5F7C E0100; Adobe-Japan1; CID+17368
5F7D E0100; Adobe-Japan1; CID+17369
5F7E E0100; Adobe-Japan1; CID+17372
5F7F E0100; Adobe-Japan1; CID+17375
5F80 E0100; Adobe-Japan1; CID+17377
5F80 E0101; Adobe-Japan1; CID+62276
5F80 E0102; Hanyo-Denshi; CID+17377
5F80 E0103; Hanyo-Denshi; CID+62276
5F81 E0100; Adobe-Japan1; CID+17379
5F82 E0100; Adobe-Japan1; CID+17380
5F83 E0100; Adobe-Japan1; CID+17381
5F84 E0100; Adobe-Japan1; CID+17382
5F84 E01EA; PUA; CID+17383
5F85 E0100; Adobe-Japan1; CID+17384
5F86 E0100; Hanyo-Denshi; CID+17386
5F86 E0101; Hanyo-Denshi; CID+17385
5F87 E0100; Adobe-Japan1; CID+17387
5F88 E0100; Adobe-Japan1; CID+17388
5F89 E0100; Adobe-Japan1; CID+17390
5F8A E0100; Adobe-Japan1; CID+17392
5F8B E0100; Adobe-Japan1; CID+17393
5F8B E0101; Hanyo-Denshi; CID+17393
5F8C E0100; Adobe-Japan1; CID+17394
5F8C E0101; Hanyo-Denshi; CID+17394
5F8C E0102; Hanyo-Denshi; CID+17395
5F8D E0100; Adobe-Japan1; CID+17397
5F8F E0100; Adobe-Japan1; CID+17399
5F90 E0100; Adobe-Japan1; CID+17400
5F90 E0101; Hanyo-Denshi; CID+17400
5F90 E0102; Hanyo-Denshi; CID+17401
5F91 E0100; Adobe-Japan1; CID+17402
5F91 E0101; Hanyo-Denshi; CID+17402
5F92 E0100; Adobe-Japan1; CID+17403
5F93 E0100; Adobe-Japan1; CID+17404
5F93 E0101; Moji-Joho; CID+17404
5F96 E0100; Adobe-Japan1; CID+17407
5F97 E0100; Adobe-Japan1; CID+17410
5F98 E0100; Adobe-Japan1; CID+61922
5F98 E0101; Adobe-Japan1; CID+17412
5F98 E0102; Moji-Joho; CID+61922
5F98 E0103; Moji-Joho; CID+17412
5F99 E0100; Adobe-Japan1; CID+17414
5F9C E0100; Adobe-Japan1; CID+17417
5F9C E01EA; PUA; CID+17418
5F9D E0100; Adobe-Japan1; CID+17419
5F9E E0100; Adobe-Japan1; CID+17421
5F9E E0101; Hanyo-Denshi; CID+17421
5FA0 E0100; Adobe-Japan1; CID+17425
5FA1 E0100; Adobe-Japan1; CID+17426
5FA1 E0101; Adobe-Japan1; CID+62277
5FA1 E0102; Hanyo-Denshi; CID+17426
5FA1 E0103; Hanyo-Denshi; CID+62277
5FA1 E0105; Moji-Joho; CID+17427
5FA1 E0106; Moji-Joho; CID+17426
5FA2 E0100; Adobe-Japan1; CID+17428
5FA4 E0100; Adobe-Japan1; CID+17430
5FA4 E0101; Moji-Joho; CID+17430
5FA4 E0102; Moji-Joho; CID+17430
5FA7 E0100; Adobe-Japan1; CID+17434
5FA8 E0100; Adobe-Japan1; CID+17436
5FA9 E0100; Adobe-Japan1; CID+17437
5FAA E0100; Adobe-Japan1; CID+17440
5FAB E0100; Adobe-Japan1; CID+17443
5FAB E0101; Hanyo-Denshi; CID+17443
5FAC E0100; Adobe-Japan1; CID+17446
5FAC E0101; Hanyo-Denshi; CID+17446
5FAC E0102; Hanyo-Denshi; CID+17447
5FAD E0100; Adobe-Japan1; CID+17448
5FAE E0100; Adobe-Japan1; CID+17452
5FAE E0101; Adobe-Japan1; CID+62278
5FAE E0102; Hanyo-Denshi; CID+17452
5FAE E0104; Hanyo-Denshi; CID+62278
5FAE E0105; Moji-Joho; CID+17453
5FAF E0100; Adobe-Japan1; CID+17455
5FAF E01EA; PUA; CID+17456
5FB0 E0100; Adobe-Japan1; CID+17458
5FB1 E0100; Adobe-Japan1; CID+17459
5FB3 E0100; Adobe-Japan1; CID+17461
5FB3 E0101; Moji-Joho; CID+17461
5FB4 E0100; Adobe-Japan1; CID+17462
5FB5 E0100; Adobe-Japan1; CID+17463
5FB5 E0101; Adobe-Japan1; CID+62279
5FB5 E0102; Hanyo-Denshi; CID+17463
5FB5 E0103; Hanyo-Denshi; CID+62279
5FB7 E0100; Adobe-Japan1; CID+17467
5FB7 E0101; Hanyo-Denshi; CID+17468
5FB7 E0102; Hanyo-Denshi; CID+17467
5FB8 E0100; Adobe-Japan1; CID+17469
5FB9 E0100; Adobe-Japan1; CID+17471
5FBC E0100; Adobe-Japan1; CID+17477
5FBD E0100; Adobe-Japan1; CID+61923
5FBD E0101; Adobe-Japan1; CID+17479
5FBD E0102; Hanyo-Denshi; CID+61923
5FBD E0103; Hanyo-Denshi; CID+17479
5FC3 E0100; Adobe-Japan1; CID+17487
5FC4 E0100; Adobe-Japan1; CID+17489
5FC5 E0100; Adobe-Japan1; CID+17490
5FC7 E0100; Adobe-Japan1; CID+17492
5FC8 E0100; Adobe-Japan1; CID+17493
5FC9 E0100; Adobe-Japan1; CID+17494
5FCB E0100; Adobe-Japan1; CID+17496
5FCC E0100; Adobe-Japan1; CID+17497
5FCD E0100; Adobe-Japan1; CID+17499
5FCD E0101; Adobe-Japan1; CID+62280
5FCD E0102; Hanyo-Denshi; CID+17499
5FCD E0104; Hanyo-Denshi; CID+62280
5FD0 E0100; Adobe-Japan1; CID+17504
5FD1 E0100; Adobe-Japan1; CID+17505
5FD2 E0100; Adobe-Japan1; CID+17507
5FD3 E0100; Adobe-Japan1; CID+17509
5FD4 E0100; Adobe-Japan1; CID+17510
5FD6 E0100; Adobe-Japan1; CID+17512
5FD7 E0100; Adobe-Japan1; CID+17513
5FD8 E0100; Adobe-Japan1; CID+17515
5FD8 E0101; Adobe-Japan1; CID+62281
5FD8 E0102; Hanyo-Denshi; CID+17515
5FD8 E0103; Hanyo-Denshi; CID+62281
5FD9 E0100; Adobe-Japan1; CID+17518
5FD9 E0101; Adobe-Japan1; CID+62282
5FD9 E0102; Hanyo-Denshi; CID+17518
5FD9 E0103; Hanyo-Denshi; CID+62282
5FDC E0100; Adobe-Japan1; CID+17524
5FDD E0100; Adobe-Japan1; CID+17526
5FDD E0101; Adobe-Japan1; CID+62283
5FDE E0100; Adobe-Japan1; CID+17528
5FDE E0101; Moji-Joho; CID+17528
5FDE E0102; Moji-Joho; CID+17528
5FDF E0100; Moji-Joho; CID+17531
5FDF E0101; Moji-Joho; CID+17531
5FE0 E0100; Adobe-Japan1; CID+17533
5FE1 E0100; Adobe-Japan1; CID+17535
5FE2 E0100; Adobe-Japan1; CID+17536
5FE3 E0100; Hanyo-Denshi; CID+17537
5FE3 E0101; Hanyo-Denshi; CID+17538
5FE4 E0100; Adobe-Japan1; CID+17539
5FE8 E0100; Adobe-Japan1; CID+17543
5FE9 E0100; Adobe-Japan1; CID+17544
5FEA E0100; Adobe-Japan1; CID+17546
5FEB E0100; Adobe-Japan1; CID+17549
5FEC E0100; Adobe-Japan1; CID+17551
5FED E0100; Adobe-Japan1; CID+17552
5FED E0101; Hanyo-Denshi; CID+17552
5FED E0102; Hanyo-Denshi; CID+17553
5FEE E0100; Adobe-Japan1; CID+17555
5FEF E0100; Adobe-Japan1; CID+17556
5FF0 E0100; Adobe-Japan1; CID+17558
5FF0 E0101; Moji-Joho; CID+17558
5FF1 E0100; Adobe-Japan1; CID+17559
5FF2 E0100; Adobe-Japan1; CID+17560
5FF3 E0100; Adobe-Japan1; CID+17561
5FF5 E0100; Adobe-Japan1; CID+17565
5FF6 E0100; Adobe-Japan1; CID+17568
5FF8 E0100; Adobe-Japan1; CID+17571
5FFA E0100; Adobe-Japan1; CID+17574
5FFB E0100; Adobe-Japan1; CID+17576
5FFC E0100; Adobe-Japan1; CID+17578
5FFD E0100; Adobe-Japan1; CID+17580
5FFF E0100; Adobe-Japan1; CID+17583
5FFF E0101; Hanyo-Denshi; CID+17583
5FFF E0102; Hanyo-Denshi; CID+17584
6007 E0100; Adobe-Japan1; CID+17593
600A E0100; Adobe-Japan1; CID+17597
600D E0100; Adobe-Japan1; CID+17601
600E E0100; Adobe-Japan1; CID+17602
600F E0100; Adobe-Japan1; CID+17604
6010 E0100; Adobe-Japan1; CID+17606
6012 E0100; Adobe-Japan1; CID+17608
6013 E0100; Adobe-Japan1; CID+17611
6014 E0100; Adobe-Japan1; CID+17614
6015 E0100; Adobe-Japan1; CID+17615
6016 E0100; Adobe-Japan1; CID+17616
6017 E0100; Adobe-Japan1; CID+17617
6018 E0100; Adobe-Japan1; CID+17618
6019 E0100; Adobe-Japan1; CID+17619
601A E0100; Adobe-Japan1; CID+17620
601B E0100; Adobe-Japan1; CID+17621
601C E0100; Adobe-Japan1; CID+17622
601C E0101; Hanyo-Denshi; CID+17622
601C E0102; Hanyo-Denshi; CID+17623
601D E0100; Adobe-Japan1; CID+17625
601F E0100; Adobe-Japan1; CID+17627
6020 E0100; Adobe-Japan1; CID+17629
6021 E0100; Adobe-Japan1; CID+17631
6022 E0100; Adobe-Japan1; CID+17633
6024 E0100; Adobe-Japan1; CID+17636
6025 E0100; Adobe-Japan1; CID+17638
6025 E0101; Adobe-Japan1; CID+62284
6025 E0102; Hanyo-Denshi; CID+17638
6025 E0103; Hanyo-Denshi; CID+62284
6026 E0100; Adobe-Japan1; CID+17640
6026 E0101; Hanyo-Denshi; CID+17640
6026 E0102; Hanyo-Denshi; CID+17641
6027 E0100; Adobe-Japan1; CID+17642
6028 E0100; Adobe-Japan1; CID+17643
6029 E0100; Adobe-Japan1; CID+17645
602A E0100; Adobe-Japan1; CID+17647
602B E0100; Adobe-Japan1; CID+17648
602D E0100; Adobe-Japan1; CID+17651
602F E0100; Adobe-Japan1; CID+17653
6031 E0100; Adobe-Japan1; CID+17656
6033 E0100; Adobe-Japan1; CID+17659
6035 E0100; Adobe-Japan1; CID+17661
6035 E01EA; PUA; CID+17662
6038 E0100; Hanyo-Denshi; CID+17666
603A E0100; Adobe-Japan1; CID+17668
6040 E0100; Adobe-Japan1; CID+17674
6041 E0100; Adobe-Japan1; CID+17676
6042 E0100; Adobe-Japan1; CID+17678
6043 E0100; Adobe-Japan1; CID+17679
6044 E0100; Hanyo-Denshi; CID+17681
6046 E0100; Adobe-Japan1; CID+17684
6047 E0100; Adobe-Japan1; CID+17686
6048 E0100; Adobe-Japan1; CID+17688
6049 E0100; Adobe-Japan1; CID+17690
604A E0100; Adobe-Japan1; CID+17692
604A E0101; Hanyo-Denshi; CID+17692
604B E0100; Adobe-Japan1; CID+17693
604C E0100; Adobe-Japan1; CID+17696
604D E0100; Adobe-Japan1; CID+17697
6050 E0100; Adobe-Japan1; CID+17700
6050 E0101; Adobe-Japan1; CID+62285
6050 E0102; Hanyo-Denshi; CID+17700
6050 E0103; Hanyo-Denshi; CID+62285
6050 E0104; Hanyo-Denshi; CID+17701
6051 E0100; Adobe-Japan1; CID+17704
6052 E0100; Adobe-Japan1; CID+17705
6054 E0100; Adobe-Japan1; CID+17707
6054 E0101; Moji-Joho; CID+17707
6054 E0102; Moji-Joho; CID+17707
6055 E0100; Adobe-Japan1; CID+17709
6056 E0100; Adobe-Japan1; CID+17712
6057 E0100; Adobe-Japan1; CID+17713
6059 E0100; Adobe-Japan1; CID+17716
605A E0100; Adobe-Japan1; CID+17718
605D E0100; Adobe-Japan1; CID+17722
605D E0101; Hanyo-Denshi; CID+17722
605D E0102; Hanyo-Denshi; CID+17723
605F E0100; Adobe-Japan1; CID+17726
6060 E0100; Adobe-Japan1; CID+17728
6061 E0100; Adobe-Japan1; CID+17729
6062 E0100; Adobe-Japan1; CID+61924
6062 E0101; Adobe-Japan1; CID+62286
6062 E0102; Adobe-Japan1; CID+17731
6062 E0103; Hanyo-Denshi; CID+61924
6062 E0104; Hanyo-Denshi; CID+17731
6062 E0105; Hanyo-Denshi; CID+62286
6063 E0100; Adobe-Japan1; CID+17734
6063 E01EA; PUA; CID+17735
6064 E0100; Adobe-Japan1; CID+17737
6065 E0100; Adobe-Japan1; CID+17738
6065 E0101; Adobe-Japan1; CID+62287
6065 E0102; Moji-Joho; CID+17738
6065 E0103; Moji-Joho; CID+62287
6067 E0100; Adobe-Japan1; CID+17741
6068 E0100; Adobe-Japan1; CID+17743
6069 E0100; Adobe-Japan1; CID+17745
606A E0100; Adobe-Japan1; CID+17747
606B E0100; Adobe-Japan1; CID+17748
606C E0100; Adobe-Japan1; CID+17749
606D E0100; Adobe-Japan1; CID+17751
606F E0100; Adobe-Japan1; CID+17755
6070 E0100; Adobe-Japan1; CID+17757
6071 E0100; Adobe-Japan1; CID+17759
6071 E0101; Hanyo-Denshi; CID+17759
6071 E0102; Hanyo-Denshi; CID+17760
6075 E0100; Adobe-Japan1; CID+17764
6075 E0101; Adobe-Japan1; CID+58971
6075 E0102; Hanyo-Denshi; CID+17764
6075 E0103; Hanyo-Denshi; CID+58971
6077 E0100; Adobe-Japan1; CID+17766
607E E0100; Adobe-Japan1; CID+17774
607E E0101; Hanyo-Denshi; CID+17774
607E E0102; Hanyo-Denshi; CID+17775
607E E0103; Hanyo-Denshi; CID+17776
607E E01EA; Hanyo-Denshi; CID+17767
607F E0100; Adobe-Japan1; CID+17777
607F E0101; Hanyo-Denshi; CID+17777
6081 E0100; Adobe-Japan1; CID+17779
6081 E0101; Hanyo-Denshi; CID+17779
6082 E0100; Adobe-Japan1; CID+17781
6083 E0100; Adobe-Japan1; CID+17783
6084 E0100; Adobe-Japan1; CID+17785
6084 E0101; Hanyo-Denshi; CID+17785
6084 E0102; Hanyo-Denshi; CID+17786
6085 E0100; Adobe-Japan1; CID+17788
6086 E0100; Adobe-Japan1; CID+17791
6088 E0100; Adobe-Japan1; CID+17795
6089 E0100; Adobe-Japan1; CID+17796
608A E0100; Adobe-Japan1; CID+17798
608B E0100; Adobe-Japan1; CID+17800
608B E0101; Hanyo-Denshi; CID+17800
608B E0102; Hanyo-Denshi; CID+17800
608C E0100; Adobe-Japan1; CID+17802
608D E0100; Adobe-Japan1; CID+17804
608E E0100; Adobe-Japan1; CID+17805
608E E0101; Hanyo-Denshi; CID+17805
608E E0102; Hanyo-Denshi; CID+17806
6091 E0100; Adobe-Japan1; CID+17810
6092 E0100; Adobe-Japan1; CID+17811
6093 E0100; Adobe-Japan1; CID+17812
6094 E0100; Adobe-Japan1; CID+58925
6094 E0101; Adobe-Japan1; CID+17813
6094 E0102; Hanyo-Denshi; CID+17813
6094 E0103; Hanyo-Denshi; CID+58925
6095 E0100; Adobe-Japan1; CID+17815
6096 E0100; Adobe-Japan1; CID+17816
6097 E0100; Adobe-Japan1; CID+17818
6097 E0101; Adobe-Japan1; CID+62288
6097 E0102; Adobe-Japan1; CID+62289
6097 E0103; Hanyo-Denshi; CID+17818
6097 E0104; Hanyo-Denshi; CID+62288
6097 E0105; Hanyo-Denshi; CID+62289
6098 E0100; Adobe-Japan1; CID+17819
6099 E0100; Hanyo-Denshi; CID+17821
609A E0100; Adobe-Japan1; CID+17822
609B E0100; Adobe-Japan1; CID+17823
609C E0100; Hanyo-Denshi; CID+17828
609C E0101; Hanyo-Denshi; CID+17827
609D E0100; Adobe-Japan1; CID+17829
609E E0100; Adobe-Japan1; CID+61925
609E E0101; Adobe-Japan1; CID+17830
609F E0100; Adobe-Japan1; CID+17834
609F E0101; Hanyo-Denshi; CID+17834
60A0 E0100; Adobe-Japan1; CID+17835
60A2 E0100; Adobe-Japan1; CID+17839
60A3 E0100; Adobe-Japan1; CID+17841
60A4 E0100; Adobe-Japan1; CID+17843
60A4 E0101; Adobe-Japan1; CID+62290
60A4 E0102; Hanyo-Denshi; CID+17843
60A4 E0103; Hanyo-Denshi; CID+62290
60A5 E0100; Adobe-Japan1; CID+17845
60A6 E0100; Adobe-Japan1; CID+17847
60A7 E0100; Adobe-Japan1; CID+17849
60A8 E0100; Adobe-Japan1; CID+17850
60A8 E0101; Hanyo-Denshi; CID+17850
60A8 E0102; Hanyo-Denshi; CID+17851
60A9 E0100; Adobe-Japan1; CID+17853
60AA E0100; Adobe-Japan1; CID+17854
60B0 E0100; Adobe-Japan1; CID+17860
60B1 E0100; Adobe-Japan1; CID+17863
60B2 E0100; Adobe-Japan1; CID+17865
60B2 E0101; Adobe-Japan1; CID+62291
60B2 E0102; Moji-Joho; CID+17865
60B2 E0103; Moji-Joho; CID+62291
60B3 E0100; Adobe-Japan1; CID+17867
60B3 E0101; Hanyo-Denshi; CID+17867
60B4 E0100; Adobe-Japan1; CID+17870
60B5 E0100; Adobe-Japan1; CID+17872
60B6 E0100; Adobe-Japan1; CID+17874
60B7 E0100; Adobe-Japan1; CID+17875
60B8 E0100; Adobe-Japan1; CID+17878
60BB E0100; Adobe-Japan1; CID+17883
60BC E0100; Adobe-Japan1; CID+17885
60BD E0100; Adobe-Japan1; CID+17886
60BE E0100; Adobe-Japan1; CID+17889
60BE E0101; Hanyo-Denshi; CID+17863
60BE E0102; Hanyo-Denshi; CID+17890
60C2 E0100; Adobe-Japan1; CID+17896
60C4 E0100; Adobe-Japan1; CID+17900
60C5 E0100; Adobe-Japan1; CID+17903
60C5 E0101; Adobe-Japan1; CID+62292
60C5 E0102; Hanyo-Denshi; CID+17903
60C5 E0103; Hanyo-Denshi; CID+62292
60C6 E0100; Adobe-Japan1; CID+17905
60C6 E0101; Hanyo-Denshi; CID+17905
60C6 E0102; Hanyo-Denshi; CID+17906
60C7 E0100; Adobe-Japan1; CID+17909
